team,home_away,w_l_d,shutouts,all_red,all_yellow,foul_mean,foul_median,score_mean,score_med,goal_rate,Draw,Loss,Win,wld_ratio,win_percent
Creighton Bluejays,Home,0.6458333333333334,10,2,10,10.25,10.5,1.4166666666666667,2,0.09115281501340483,5,6,13,13-6-5,54.166666666666664
Dartmouth Big Green,Away,0.33333333333333337,1,1,3,8.933333333333334,9,1.0666666666666667,1,0.09876543209876543,2,9,4,4-9-2,26.666666666666668
Dartmouth Big Green,Home,0.6764705882352942,6,0,7,8.470588235294118,8,1.9411764705882353,2,0.1213235294117647,1,5,11,11-5-1,64.70588235294117
Davidson Wildcats,Away,0.5192307692307693,9,0,12,8.115384615384615,8,0.8846153846153846,1,0.10849056603773585,5,10,11,11-10-5,42.30769230769231
Davidson Wildcats,Home,0.6153846153846154,13,0,10,6.538461538461538,6.5,1.4615384615384615,1,0.1391941391941392,6,7,13,13-7-6,50
Dayton Flyers,Away,0.6153846153846154,10,2,25,10.423076923076923,10,1.653846153846154,1,0.13109756097560976,2,9,15,15-9-2,57.692307692307686
Dayton Flyers,Home,0.7241379310344828,15,1,30,10.931034482758621,11,2.103448275862069,2,0.10683012259194395,2,7,20,20-7-2,68.96551724137932
DePaul Blue Demons,Away,0.21428571428571427,3,0,8,9.333333333333334,8,0.7619047619047619,1,0.09696969696969697,1,16,4,4-16-1,19.047619047619047
DePaul Blue Demons,Home,0.42857142857142855,6,0,10,11.142857142857142,9,1.3333333333333333,1,0.12389380530973451,0,12,9,9-12-0,42.857142857142854
Delaware Blue Hens,Away,0.23809523809523805,4,0,12,9.666666666666666,9,0.5714285714285714,0,0.06030150753768844,4,14,3,3-14-4,14.285714285714285
Delaware Blue Hens,Home,0.38636363636363635,4,1,9,8.727272727272727,8,1.0909090909090908,1,0.10300429184549356,3,12,7,7-12-3,31.818181818181817
Delaware St. Hornets,Away,0.10526315789473684,0,0,5,7.473684210526316,7,0.5263157894736843,0,0.078125,0,17,2,2-17-0,10.526315789473683
Delaware St. Hornets,Home,0.225,3,2,12,6.1,6,0.7,1,0.12612612612612611,3,14,3,3-14-3,15
Denver Pioneers,Away,0.6612903225806451,13,1,22,8.290322580645162,8,2.096774193548387,2,0.15151515151515152,3,9,19,19-9-3,61.29032258064516
Denver Pioneers,Home,0.8,17,0,10,9.6,9.5,2.1333333333333333,2,0.13675213675213677,4,4,22,22-4-4,73.33333333333333
Detroit Mercy Titans,Away,0.11999999999999998,0,1,14,9.84,10,0.6799999999999999,0,0.08994708994708994,0,22,3,3-22-0,12
Detroit Mercy Titans,Home,0.5263157894736842,5,0,15,11.789473684210526,11,1.3157894736842106,1,0.08928571428571429,4,7,8,8-7-4,42.10526315789473
